Category,Text,Date,Name on file,CompanyA,CompanyB
1,"1. DEFINITIONS
""Confidential Information"" means information (regardless of its form) disclosed or otherwise made available by or on behalf of the Discloser or its Related Entities to the Recipient or its Authorised Representatives, including before the date of this Agreement, for or in connection with the Purpose, which:
(a) is marked as being proprietary or confidential to the Discloser or its Related Entities, or that the Discloser has otherwise advised is proprietary or confidential to Discloser or its Related Entities;
(b) is confidential to a third party to whom the Discloser or its Related Entities owes an obligation of confidence, which obligation is notified to the Recipient or its Authorised Representatives; and/or
(c) in the circumstances surrounding disclosure or because of the nature of the information, ought in good faith to be treated as confidential,
and expressly includes:
(d) information that relates to or includes financial information, business plans, trade secrets, customers or suppliers of the Discloser or its Related Entities;
(e) the contents of this Agreement;
(f) the fact of or content of any discussions between the parties relating to the Purpose; and
(g) information created by the Recipient that is derived wholly or partly from the Confidential Information.
""Discloser"" means the party disclosing or otherwise making available Confidential Information to the Recipient in relation to the Purpose.
""Excluded Information"" means Confidential Information:
(a) which is in or becomes part of the public domain other than through a breach of this Agreement or an obligation of confidentiality owed to the Discloser;
(b) which the Recipient can prove was already known to it prior to or at the time of disclosure by the Discloser;
(c) which the Recipient can prove was independently developed by it prior to or at the time of disclosure by the Discloser; or
(d) which the Recipient acquires or acquired from a third party entitled to disclose it.
""Recipient"" means the party receiving Confidential Information in relation to the Purpose.
""Related Entities"" has the meaning given to it in the Corporations Act 2001 (Cth).
",,Zip,Zip,
2,"USE OF CONFIDENTIAL INFORMATION
The Recipient agrees:
not to access, use, disclose or reproduce Confidential Information for any purpose other than the Purpose;
to maintain the confidential nature of Confidential Information; 
not, without the prior written consent of the Discloser, to disclose any Confidential information to any person other than its Authorised Representatives; 
at the request of the Discloser, to provide the Discloser with the name and title of each Authorised Representative to whom any Confidential Information has been disclosed; 
that it is wholly responsible for the acts or omissions of its Authorised Representatives and will procure that its Authorised Representatives do not do or omit to do anything which, if done or omitted to be done by the Recipient, would cause the Recipient to be in breach of its obligations under this Agreement;
to establish and maintain effective security measures to safeguard Confidential Information from unauthorised access, use, disclosure or reproduction; and
to immediately notify the Discloser of any suspected or actual unauthorised access, use, disclosure or reproduction of Confidential Information. 
Clause 2.1 does not apply to: 
Excluded Information; or
the disclosure of Confidential Information by the Recipient as required by any law or the rules of any securities exchange, or by any order of a government agency, provided that, before any such disclosure is made by the Recipient, reasonable notice is given to the Discloser and the Confidential Information disclosed is limited to prevent or minimise any potential damage to the Discloser.
",,Zip,Zip,
12,"ACKNOWLEDGEMENT AND INDEMNITY
The Recipient acknowledges that: 
any breach of this Agreement may result in significant damage to the Discloser;
damages are not a sufficient remedy for the Discloser for any breach of this Agreement; and
the Discloser is entitled to specific performance or injunctive relief as a remedy for any breach or threatened breach by the Recipient.
information provided pursuant to this document Agreement may be ‘inside information’ for the purpose of the Corporations Act and agrees, if that is the case, that it will procure its Related Bodies Corporate that receive or are provided any Confidential Information to comply with Part 7.10, Division 3 of the Corporations Act in respect of any shares or securities in relation to the Confidential Information in accordance with this Agreement
Without limiting clause 3.1, the Recipient indemnifies the Discloser and its Related Entities against any cost, expenses, loss, damage or liability suffered by them as a consequence of any breach by the Recipient (including by its Authorised Representatives) of this Agreement.",,Zip,Zip,
13,"RETURN OR DESTRUCTION OF CONFIDENTIAL INFORMATION
Without in any way limiting the obligations of the Recipient under this Agreement, when the Confidential Information is no longer required by the Recipient for the Purpose (as advised by the Discloser), the Recipient will cease all use of the Confidential Information and the Discloser may request that the Recipient:
return the Confidential Information to the Discloser; or
destroy or delete (as applicable) the Confidential Information in a manner reasonably requested by the Discloser,
Clause 4.1 does not apply to, or require the return or destruction or deletion of, any legal advice, internal working papers, legal opinions or legal due diligence reports prepared for the Recipient, or Board minutes or papers relating to those issues.",,Zip,Zip,
4,"DISCLAIMER
This Agreement does not obligate the Discloser to provide any information to the Recipient.  
The Recipient acknowledges that the Discloser does not make any representation or warranty as to the accuracy or completeness of the Confidential Information.  The Recipient agrees that it must satisfy itself as to the accuracy and completeness of Confidential Information.
To the maximum extent permitted by law, the Discloser disclaims all liability for any loss or damage suffered by any person accessing, using, disclosing or acting on any Confidential Information.",,Zip,Zip,
7,"GENERAL
The failure of a party at any time to insist on performance of any provision of this Agreement is not a waiver of its right at any later time to insist on performance of that or any other provision of this Agreement.
A party will not assign or otherwise transfer any or all of its rights arising out of this Agreement without the prior written consent of the other party.  
This agreement may not be varied except in writing signed by the parties.
This Agreement is governed by the laws of New South Wales and each party submits to the non-exclusive jurisdiction of the Courts of New South Wales.
This Agreement may be executed in counterparts, each of which will be considered an original and all of which together constitute one and the same Agreement. Each party agrees that this Agreement and any other documents to be delivered in connection herewith may be electronically signed, and that any electronic signatures appearing on this Agreement or such other documents are the same as handwritten signatures for the purposes of validity, enforceability, and admissibility
",,Zip,Zip,
13,"RETURN OR DESTRUCTION OF CONFIDENTIAL INFORMATION
Without in any way limiting the obligations of the Recipient under this Agreement, when the Confidential Information is no longer required by the Recipient for the Purpose (as advised by the Discloser), the Recipient will cease all use of the Confidential Information and the Discloser may request that the Recipient:
return the Confidential Information to the Discloser; or
destroy or delete (as applicable) the Confidential Information in a manner reasonably requested by the Discloser,
Clause 4.1 does not apply to, or require the return or destruction or deletion of, any legal advice, internal working papers, legal opinions or legal due diligence reports prepared for the Recipient, or Board minutes or papers relating to those issues.",,Zip,Zip,
2,"2. USE OF CONFIDENTIAL INFORMATION
2.1 The Recipient agrees:
(a) not to access, use, disclose or reproduce Confidential Information for any purpose other than the Purpose;
(b) to maintain the confidential nature of Confidential Information; 
(c) not, without the prior written consent of the Discloser, to disclose any Confidential information to any person other than its Authorised Representatives; 
(d) at the request of the Discloser, to provide the Discloser with the name and title of each Authorised Representative to whom any Confidential Information has been disclosed; 
(e) that it is wholly responsible for the acts or omissions of its Authorised Representatives and will procure that its Authorised Representatives do not do or omit to do anything which, if done or omitted to be done by the Recipient, would cause the Recipient to be in breach of its obligations under this Agreement;
(f) to establish and maintain effective security measures to safeguard Confidential Information from unauthorised access, use, disclosure or reproduction; and
(g) to immediately notify the Discloser of any suspected or actual unauthorised access, use, disclosure or reproduction of Confidential Information. 
2.2 Clause 2.1 does not apply to: 
(a) Excluded Information; or
(b) the disclosure of Confidential Information by the Recipient as required by any law or the rules of any securities exchange, or by any order of a government agency, provided that, before any such disclosure is made by the Recipient, reasonable notice is given to the Discloser and the Confidential Information disclosed is limited to prevent or minimise any potential damage to the Discloser.
",,Zip,Zip,
1,"Article 2 (Definition of Confidential Information)
The term “Confidential Information” as used in the Agreement shall mean Disclosing Party’s technical, commercial and other information disclosed by Disclosing Party to Receiving Party in connection with the Study.
Notwithstanding the provisions of the preceding paragraph, any information which Receiving Party can objectively demonstrate as falling under any of the following items shall not be included in Confidential Information.
information which is already in the public domain at the time of the disclosure by Disclosing Party, or information which becomes in the public domain through reasons not attributable to Receiving Party (including Entrusted Parties as defined in paragraph 4 of Article 3) after the disclosure by Disclosing Party;
information already in the possession of the Receiving Party at the time of the disclosure by Disclosing Party;
information developed or generated independently by Receiving Party without using Confidential Information of Disclosing Party; or,
information obtained by Receiving Party through a third party having the legitimate authority without obligation of confidentiality.
Notwithstanding the provisions of paragraph 1, ThoughtSpot and YAMATO shall treat the contents, existence and results of the Study (including the Agreement itself) as Confidential Information.
",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
2,"Article 3 (Handling of Confidential Information)
Receiving Party shall handle Confidential Information with the duty of care and diligence of a good manager, and without the prior written consent of Disclosing Party, shall not disclose, announce, provide or divulge Confidential Information to any third party. 
Receiving Party shall not use Confidential Information for any purpose other than the Study or beyond the scope necessary for the Study.
Receiving Party may disclose Confidential Information to officers and employees of its own which to the minimum extent necessary for the Study.  In such event, Receiving Party shall require such officers and employees to maintain obligations equivalent to the confidentiality obligations of Receiving Party hereunder, and shall be liable for any damage caused to Disclosing Party due to a breach of the Agreement by such officers and employees.
In the event Receiving Party discloses Confidential Information to a third party (including the party entrusted by Receiving Party) upon the consent of Disclosing Party as referred to in paragraph 1 (hereinafter referred to as “Entrusted Party”), Receiving Party shall require Entrusted Party to maintain obligations equivalent to the confidentiality obligations of Receiving Party hereunder, and shall be liable for any damage caused to Disclosing Party due to a breach of the Agreement by Entrusted Party.
In the event that Receiving Party is requested to disclose Confidential Information by courts, competent authorities or other administrative agencies, Receiving Party shall, prior to the disclosure, notify Disclosing Party in writing of such necessary matters as the contents of the disclosure and the recipient of the information; provided, however, if such prior notice is prohibited by laws etc., Receiving Party shall promptly notify Disclosing Party after disclosure.",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
